Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
667,Anthem,Ayn Rand,"Rand, Ayn",,452281253,9780452281257,5,3.61,NAL,Paperback,105,1999,1938,,2012/03/17,philosophy,philosophy (#12),read,,,,,,,0,,,,,
584637,Utilitarianism,John Stuart Mill,"Mill, John Stuart",George Sher,087220605X,9780872206052,0,3.63,Hackett Publishing Company,Paperback,71,2002,1861,,2012/06/30,philosophy,philosophy (#4),read,,,,,,,0,,,,,
31862,Discourse on Method and Meditations on First Philosophy,René Descartes,"Descartes, René",Donald A. Cress,872204200,9780872204201,4,3.64,"Hackett Publishing Company, Inc.",Paperback,103,1999,1637,,2012/06/30,philosophy,philosophy (#9),read,,,,,,,0,,,,,
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,452011876,9780452011878,0,3.67,NAL,Paperback,1168,1999,1957,,2012/03/17,philosophy,philosophy (#13),read,,,,,,,0,,,,,
30658,Meditations on First Philosophy,René Descartes,"Descartes, René",Donald A. Cress,872201929,9780872201927,0,3.69,"Hackett Publishing Company, Inc.",Paperback,59,1993,1641,,2012/06/30,philosophy,philosophy (#6),read,,,,,,,0,,,,,
159418,Discourse on Method,René Descartes,"Descartes, René",Donald A. Cress,872204227,9780872204225,0,3.7,"Hackett Publishing Company, Inc.",Paperback,58,1998,1637,,2012/06/30,philosophy,philosophy (#2),read,,,,,,,0,,,,,
448836,Second Treatise of Government,John Locke,"Locke, John",C.B. Macpherson,915144867,9780915144860,0,3.74,"Hackett Publishing Company (Indianapolis, IN)",Paperback,148,1980,1689,,2012/06/30,philosophy,philosophy (#1),read,,,,,,,0,,,,,
60080,Groundwork of the Metaphysics of Morals (Texts in the History of Philosophy),Immanuel Kant,"Kant, Immanuel","Mary J. Gregor, Christine M. Korsgaard",521626951,9780521626958,0,3.77,Cambridge University Press,paper,76,1998,1785,,2012/06/30,philosophy,philosophy (#5),read,,,,,,,0,,,,,
364550,Two Treatises of Government,John Locke,"Locke, John","Peter Laslett, Raymond Geuss",521357306,9780521357302,0,3.8,Cambridge University Press,Paperback,480,1988,1689,,2016/01/29,philosophy,philosophy (#19),read,,,,,,,0,,,,,
9454,Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel,"Hegel, Georg Wilhelm Friedrich","A.V. Miller, J.N. Findlay",198245971,9780198245971,0,3.88,Oxford University Press,Paperback,640,1976,1806,,2016/01/29,philosophy,philosophy (#18),read,,,,,,,0,,,,,
19068,The Nicomachean Ethics,Aristotle,"Aristotle, Aristotle","J.A.K. Thomson, Jonathan Barnes, Hugh Tredennick",140449493,9780140449495,0,3.89,Penguin Classics,Paperback,329,2004,-350,,2014/05/04,philosophy,philosophy (#16),read,,,,,,,0,,,,,
385228,On Liberty,John Stuart Mill,"Mill, John Stuart",,140432078,9780140432077,0,3.91,Penguin Classics,Paperback,187,1985,1859,2012/05/02,2012/04/26,philosophy,philosophy (#11),read,,,,,,,0,,,,,
161744,Common Sense,Thomas Paine,"Paine, Thomas",,143036254,9780143036258,0,3.95,Penguin,Paperback,104,2005,1776,,2016/01/29,philosophy,philosophy (#17),read,,,,,,,0,,,,,
227265,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,"Quinn, Daniel",,553375407,9780553375404,0,3.96,Bantam,Paperback,272,1995,1992,,2012/06/30,philosophy,philosophy (#3),read,,,,,,,0,,,,,
92307,Being and Time,Martin Heidegger,"Heidegger, Martin",,60638508,9780060638504,0,3.98,Harper & Row (NYC/Evanston),Hardcover,589,1962,1927,,2012/06/30,philosophy,philosophy (#8),read,,,,,,,0,,,,,
24965,Fear and Trembling,Søren Kierkegaard,"Kierkegaard, Søren",Alastair Hannay,143037579,9780143037576,5,4.02,Penguin Books,Paperback,160,2006,1843,,2012/06/30,philosophy,philosophy (#7),read,,,,,,,0,,,,,
51893,Thus Spoke Zarathustra,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,140047484,9780140047486,0,4.04,Penguin Books,Paperback,327,1978,1883,,2012/06/30,philosophy,philosophy (#10),read,,,,,,,0,,,,,
5470,1984,George Orwell,"Orwell, George",Erich Fromm,451524934,9780451524935,0,4.11,New American Library,Mass Market Paperback,268,1950,1949,,2012/03/17,philosophy,philosophy (#14),read,,,,,,,0,,,,,
4190426,Give Me Back My Legions!,Harry Turtledove,"Turtledove, Harry",,312371063,9780312371067,3,3.18,St. Martin's Press,Hardcover,310,2009,2009,2012/04/17,2012/04/13,military-history,military-history (#3),read,,,,,,,0,,,,,
55885,Learning to Eat Soup with a Knife: Counterinsurgency Lessons from Malaya and Vietnam,John A. Nagl,"Nagl, John A.",Peter J. Schoomaker,226567702,9780226567709,0,3.92,University Of Chicago Press,Paperback,280,2005,2002,,2016/01/29,military-history,military-history (#7),read,,,,,,,0,,,,,
6354883,On War,Carl von Clausewitz,"Clausewitz, Carl von",,,,3,3.94,,Kindle Edition,600,,1832,,2014/06/19,military-history,military-history (#5),read,,,,,,,0,,,,,
2324855,"Days of Infamy (Pearl Harbor, #2)",Newt Gingrich,"Gingrich, Newt",William R. Forstchen,312363516,9780312363512,0,3.98,Thomas Dunne Books,Hardcover,369,2008,2008,,2012/03/17,military-history,military-history (#4),read,,,,,,,0,,,,,
29925,Gods and Generals,Jeff Shaara,"Shaara, Jeff",,1841580651,9781841580654,0,4.02,Birlinn,Paperback,498,2000,1996,,2016/01/29,military-history,military-history (#9),read,,,,,,,0,,,,,
29917,"The Rising Tide (World War II: 1939-1945, #1)",Jeff Shaara,"Shaara, Jeff",,034546141X,9780345461414,4,4.05,Ballantine Books,Hardcover,576,2006,2006,,2014/01/16,military-history,military-history (#6),read,,,,,,,0,,,,,
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, B.M. Mooyart-Doubleday",553296981,9780553296983,0,4.08,Bantam Books,Mass Market Paperback,283,1993,1947,,2012/04/20,military-history,military-history (#2),read,,,,,,,0,,,,,
55403,Black Hawk Down,Mark Bowden,"Bowden, Mark",,871137380,9780871137388,0,4.26,Atlantic Monthly Press,Hardcover,320,1999,1999,,2012/04/20,military-history,military-history (#1),read,,,,,,,0,,,,,
42512,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore,"Moore, Harold G.",Joseph L. Galloway,034547581X,9780345475817,0,4.27,Presidio Press,Paperback,480,2004,1991,,2016/01/29,military-history,military-history (#8),read,,,,,,,0,,,,,
19484230,How to Gamble If You Must: Inequalities for Stochastic Processes,Lester E. Dubins,"Dubins, Lester E.","Leonard J. Savage, William Sudderth, David Gilat",486780643,9780486780641,3,3.33,Dover Publications,Paperback,304,2014,2014,,2014/08/23,math,math (#18),read,,,,,,,0,,,,,
10672848,"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, and Emerged Triumphant from Two Centuries of Controversy",Sharon Bertsch McGrayne,"McGrayne, Sharon Bertsch",,300169698,9780300169690,0,3.6,Yale University Press,Hardcover,336,2011,2011,2013/11/26,2013/08/26,math,math (#12),read,,,,,,,0,,,,,
115105,Mathematical Statistics with Applications (Mathematical Statistics (W/ Applications)),Dennis D. Wackerly,"Wackerly, Dennis D.","William Mendenhall, Richard L. Scheaffer",534377416,9780534377410,0,3.66,Duxbury Press,Hardcover,798,2001,1995,,2015/12/16,math,math (#20),read,,,,,,,0,,,,,
7638558,Fatal System Error: The Hunt for the New Crime Lords Who are Bringing Down the Internet,Joseph Menn,"Menn, Joseph",,1586487485,9781586487485,0,3.67,PublicAffairs,Hardcover,249,2010,2010,2013/08/26,2012/08/19,math,math (#15),read,,,,,,,0,,,,,
